week_start,campaign_name,channel,spend_usd
2024-03-18,Spring refresh,Paid social,11787.22
2024-05-06,Memorial day,Paid search,8294.49
2024-05-06,Memorial day,Paid social,16806.87
2024-05-13,Memorial day,Paid search,7858.09
2024-05-13,Memorial day,Paid social,18139.02
2024-07-01,Summer sale,Email,3641.06
2024-07-01,Summer sale,Influencer,9651.19
2024-07-01,Summer sale,Paid social,15222.3
2024-07-08,Summer sale,Email,3344.28
2024-07-08,Summer sale,Influencer,9504.12
2024-07-08,Summer sale,Paid social,12119.1
2024-07-15,Summer sale,Email,3266.36
2024-07-15,Summer sale,Influencer,7667.62
2024-07-15,Summer sale,Paid social,16029.86
2024-09-02,Labor day,Paid search,8021.76
2024-09-02,Labor day,Paid social,17709.63
2024-09-09,Labor day,Paid search,8082.87
2024-09-09,Labor day,Paid social,16381.5
2024-11-25,Black friday,Email,8059.45
2024-11-25,Black friday,Influencer,25063.16
2024-11-25,Black friday,Paid search,34120.69
2024-11-25,Black friday,Paid social,53878.76
2024-12-02,Black friday,Email,7086.03
2024-12-02,Black friday,Influencer,24794.5
2024-12-02,Black friday,Paid search,29493.52
2024-12-02,Black friday,Paid social,51515.59
2024-12-02,Holiday gifting,Email,5089.34
2024-12-02,Holiday gifting,Paid search,17923.71
2024-12-02,Holiday gifting,Paid social,22691.11
2024-12-09,Holiday gifting,Email,4977.0
2024-12-09,Holiday gifting,Paid search,14573.62
2024-12-09,Holiday gifting,Paid social,28050.37
2024-12-16,Holiday gifting,Email,4774.33
2024-12-16,Holiday gifting,Paid search,16606.37
2024-12-16,Holiday gifting,Paid social,22789.42
2025-01-06,New year reset,Email,2343.89
2025-01-06,New year reset,Paid social,6956.82
2025-01-13,New year reset,Email,2877.69
2025-01-13,New year reset,Paid social,7102.46
2025-01-20,New year reset,Email,2356.73
2025-01-20,New year reset,Paid social,6756.56
2025-03-03,Spring refresh,Email,3762.21
2025-03-03,Spring refresh,Paid search,8661.05
2025-03-03,Spring refresh,Paid social,12828.97
2025-03-10,Spring refresh,Email,3058.39
2025-03-10,Spring refresh,Paid search,7860.52
2025-03-10,Spring refresh,Paid social,11240.16
2025-03-17,Spring refresh,Email,3315.79
2025-03-17,Spring refresh,Paid search,6788.71
2025-03-17,Spring refresh,Paid social,10548.96
2025-05-05,Memorial day,Paid search,8991.74
2025-05-05,Memorial day,Paid social,20966.77
2025-05-12,Memorial day,Paid search,9171.67
2025-05-12,Memorial day,Paid social,17721.28
2025-07-07,Summer sale,Email,4095.81
2025-07-07,Summer sale,Influencer,9896.72
2025-07-07,Summer sale,Paid social,14514.05
2025-07-14,Summer sale,Email,3342.45
2025-07-14,Summer sale,Influencer,10730.14
2025-07-14,Summer sale,Paid social,15626.65
2025-07-21,Summer sale,Email,3371.44
2025-07-21,Summer sale,Influencer,9895.02
2025-07-21,Summer sale,Paid social,17009.32
2025-09-01,Labor day,Paid search,7960.68
2025-09-01,Labor day,Paid social,18777.49
2025-09-08,Labor day,Paid search,7119.76
2025-09-08,Labor day,Paid social,19703.55
